677.4792	-18017.3534	1848.2455
685.2899	-18033.8115	1847.7013
692.7431	-18056.4307	1846.5668
692.9839	-18071.9663	1845.5619
695.5775	-18083.7048	1845.1487
697.2109	-18091.9057	1845.5572
698.6137	-18109.1178	1845.5888
694.1787	-18131.6984	1847.4377
696.5429	-18149.8572	1847.6824
695.7618	-18173.2485	1848.5675
696.0086	-18183.0772	1847.8711
698.0443	-18205.9172	1849.1406
693.7768	-18227.7728	1849.6560
690.0756	-18239.0823	1849.5846
688.9479	-18238.5417	1847.0222
693.1762	-18215.8368	1845.0917
693.9114	-18178.3787	1844.2024
695.2976	-18146.1777	1844.0374
692.7325	-18133.9096	1844.2941
694.3611	-18124.9135	1843.7219
694.9174	-18088.0318	1841.9978
689.7639	-18067.1632	1842.7243
685.0978	-18043.2026	1843.4680
681.6588	-18034.1871	1844.3305
680.0451	-18025.6841	1846.5262
