4056.9988	-20990.0431	1811.0276
4048.7025	-20993.7950	1810.4348
4045.9503	-20995.1661	1808.5336
4040.7611	-20997.0899	1808.0795
4028.5481	-21002.9353	1807.8365
4017.5681	-21009.3653	1808.7749
4008.6328	-21017.0121	1809.1553
3995.5414	-21023.7980	1809.6975
3979.7153	-21036.3224	1809.6044
3965.3293	-21045.1095	1809.0315
3957.0814	-21047.3751	1809.2844
3951.1422	-21047.2697	1808.8762
3939.1615	-21051.4512	1809.7072
3922.8574	-21052.8769	1810.3262
3912.1277	-21060.0761	1810.6918
3902.6779	-21061.6448	1810.9965
3889.6486	-21064.4023	1811.7936
3875.9631	-21074.9333	1811.9215
3864.9152	-21080.0293	1810.8221
3852.1791	-21084.7362	1813.1547
3845.2545	-21090.1172	1813.4742
3852.0396	-21075.0722	1820.3664
3876.0681	-21063.6193	1820.1928
3886.7398	-21059.9201	1820.2588
3898.5869	-21058.3068	1819.4044
3903.8821	-21056.3946	1819.5241
3924.9766	-21050.1212	1818.4484
3936.9031	-21047.5275	1818.7730
3944.9930	-21045.8907	1817.6907
3952.0188	-21044.5021	1817.4921
3961.2313	-21042.7657	1816.4367
3965.9481	-21041.1056	1816.6280
3975.9930	-21037.2617	1817.1206
3990.5208	-21026.7638	1817.0188
3998.0402	-21022.1290	1817.1806
4009.3684	-21016.0997	1816.7921
4016.3138	-21010.7461	1816.5458
4045.6509	-20995.5630	1816.1349
4080.3337	-20982.0273	1814.7620
4124.1526	-20966.1740	1812.6842
4142.0783	-20960.6778	1812.9841
4165.1949	-20953.0021	1813.3412
4179.0005	-20948.6681	1812.5290
4188.9655	-20945.1485	1811.9669
4217.8832	-20933.3555	1811.2582
4248.1679	-20922.8790	1810.1840
4267.6732	-20917.5900	1808.9977
4275.6031	-20915.9239	1808.4850
4273.2352	-20919.1056	1806.4817
4265.5487	-20919.5450	1806.4583
4252.9553	-20922.8204	1806.9352
4243.2870	-20925.4884	1807.2815
4230.0349	-20928.8712	1807.3975
4220.9139	-20932.8947	1807.5142
4208.4730	-20936.7617	1807.5790
4197.6079	-20941.7541	1807.4137
4183.3361	-20947.7267	1808.2882
4167.9734	-20952.8634	1809.5748
4158.6370	-20956.0547	1809.7313
4150.9897	-20959.1391	1809.6292
4131.3922	-20963.8849	1809.5985
4116.0546	-20968.4200	1808.7367
4106.8674	-20972.0076	1808.8019
4091.6750	-20977.9704	1809.8764
4083.2274	-20980.9064	1809.9428
4073.6478	-20985.0216	1810.9757
4064.5479	-20986.7188	1811.8201
